participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls0,local_symbol_cls1,local_symbol_cls2,local_symbol_cls3,correct_symbol_cls,correct_local_cls,participant_linspace,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,0.14592806,0.13665122,0.1475043,0.11877315,m,j,y,c,j,1,0.026690391459074734,3557,980.0,2
Jupiter,0.21790747,0.18997535,0.10227716,0.19871135,c,f,y,s,y,2,0.027283511269276393,1013,980.0,1
Jupiter,0.12407526,0.13742185,0.084278084,0.15494072,f,y,m,j,m,2,0.027876631079478055,1344,980.0,2
Jupiter,0.15250632,0.118619636,0.178417,0.0799573,y,f,m,j,y,0,0.028469750889679714,718,1101.0,2
Jupiter,0.21032506,0.14682092,0.09722514,0.11607643,m,s,j,f,s,1,0.029062870699881376,1013,1101.0,1
Jupiter,0.10582702,0.1708796,0.17658658,0.18785045,f,s,y,c,c,3,0.02965599051008304,722,1101.0,2
Jupiter,0.14518307,0.2234994,0.120515704,0.18424276,c,y,j,s,s,3,0.030249110320284697,648,1101.0,0
Jupiter,0.1666357,0.18053722,0.156255,0.14436336,f,c,s,m,f,0,0.03084223013048636,1059,1101.0,2
Jupiter,0.17334558,0.09076318,0.16711216,0.12716962,s,j,m,y,y,3,0.03143534994068802,2298,1101.0,0
Jupiter,0.11962503,0.20833771,0.121528305,0.19111301,j,s,y,m,j,0,0.03202846975088968,793,1101.0,2
Jupiter,0.19997717,0.18017332,0.15430172,0.19844626,f,m,j,s,m,1,0.03262158956109134,1034,1101.0,1
Jupiter,0.2031794,0.20784314,0.20928527,0.16927584,c,m,f,j,c,0,0.033214709371293,763,1101.0,0
Jupiter,0.21677765,0.14388599,0.06683487,0.15101697,m,f,j,y,m,0,0.033807829181494664,936,1101.0,0
Jupiter,0.16450642,0.2596542,0.17910227,0.15579668,m,y,s,c,s,2,0.03440094899169632,890,1101.0,2
Jupiter,0.1062328,0.118297316,0.14204058,0.2080529,j,f,c,m,f,1,0.03499406880189798,592,1101.0,2
Jupiter,0.259753,0.19714789,0.14582397,0.14219876,s,f,c,m,m,3,0.03558718861209965,617,1101.0,2
Jupiter,0.14346333,0.13754126,0.2029415,0.13007484,j,m,c,f,c,2,0.036180308422301306,956,1101.0,3
Jupiter,0.19594026,0.15681773,0.07493998,0.1630499,c,s,f,m,m,3,0.036773428232502965,937,1101.0,1
Jupiter,0.12144076,0.17019151,0.265132,0.15069526,s,y,m,f,f,3,0.037366548042704624,824,1101.0,0
Jupiter,0.25371897,0.25806695,0.11068866,0.08089142,c,s,f,m,m,3,0.03795966785290629,1817,1101.0,2
Jupiter,0.1459862,0.21520515,0.11403844,0.20510016,y,f,j,s,f,1,0.03855278766310795,702,1101.0,0
Jupiter,0.16612865,0.3220519,0.17761168,0.10886637,m,s,y,c,y,2,0.03914590747330961,1156,1101.0,3
Jupiter,0.24938537,0.12271001,0.11632372,0.12847452,c,y,f,j,f,2,0.039739027283511266,942,1101.0,1
Jupiter,0.15865597,0.047234833,0.13667499,0.160603,m,j,f,c,j,1,0.04033214709371293,2461,1101.0,1
Jupiter,0.15745078,0.17963593,0.24600746,0.12322772,m,f,c,y,f,1,0.04092526690391459,821,1101.0,1
Jupiter,0.10906957,0.19118243,0.09530782,0.18312512,m,c,j,s,m,0,0.04151838671411625,1064,1101.0,1
Jupiter,0.062646,0.15814607,0.17198817,0.20900832,m,f,s,c,s,2,0.042111506524317915,760,1101.0,1
Jupiter,0.12229923,0.122493684,0.18102084,0.10640974,f,j,s,y,s,2,0.042704626334519574,2270,1101.0,2
Jupiter,0.1774044,0.08089142,0.18134287,0.19349334,y,m,f,s,y,0,0.04329774614472123,831,1101.0,2
