participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls00,local_symbol_cls01,local_symbol_cls02,local_symbol_cls03,local_symbol_cls04,local_symbol_cls05,local_symbol_cls10,local_symbol_cls11,local_symbol_cls12,local_symbol_cls13,local_symbol_cls14,local_symbol_cls15,local_symbol_cls20,local_symbol_cls21,local_symbol_cls22,local_symbol_cls23,local_symbol_cls24,local_symbol_cls25,local_symbol_cls30,local_symbol_cls31,local_symbol_cls32,local_symbol_cls33,local_symbol_cls34,local_symbol_cls35,correct_symbol_cls0,correct_symbol_cls1,correct_symbol_cls2,correct_symbol_cls3,correct_symbol_cls4,correct_symbol_cls5,correct_local_cls,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,21.470982142857142,38.52128507653061,32.63926977040816,26.741151147959183,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,832,980.0,2
Jupiter,18.20998086734694,52.476243622448976,26.164779974489797,42.9421237244898,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,660,980.0,2
Jupiter,36.439572704081634,33.02774234693877,47.491629464285715,50.945870535714285,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2693,980.0,0
Jupiter,51.17315051020408,49.53467793367347,44.28754783163265,53.47943239795919,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,745,980.0,2
Jupiter,37.25079719387755,53.69937818877551,46.08059630102041,63.66254783163265,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1119,980.0,0
Jupiter,49.18048469387755,53.88695790816327,35.284199617346935,45.79799107142857,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,875,980.0,2
Jupiter,31.250717474489797,59.899633290816325,50.150510204081634,35.476482780612244,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,849,980.0,0
Jupiter,35.379464285714285,33.390306122448976,49.19945790816327,32.35674426020408,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,674,980.0,2
Jupiter,19.966278698979593,44.247927295918366,28.843032525510203,45.52973533163265,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,804,980.0,1
Jupiter,36.75215242346939,52.94730548469388,44.796954719387756,51.905293367346935,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,985,980.0,3
Jupiter,55.80269451530612,49.717793367346935,37.63145727040816,46.661352040816325,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,755,980.0,2
Jupiter,20.401865433673468,34.015943877551024,21.022321428571427,56.83553890306123,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,770,980.0,2
Jupiter,71.98963647959184,47.03651147959184,25.878427933673468,57.5124362244898,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1004,980.0,2
Jupiter,24.882732780612244,32.58266900510204,52.18853635204081,37.02447385204081,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,926,980.0,1
Jupiter,40.885044642857146,51.027901785714285,46.81776147959184,35.513313137755105,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,892,980.0,3
Jupiter,38.054607780612244,31.435028698979593,43.561543367346935,49.50263073979592,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1088,980.0,2
Jupiter,38.79384566326531,53.21293048469388,58.1555325255102,38.317602040816325,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1027,980.0,3
Jupiter,40.41294642857143,28.976642219387756,43.24019451530612,28.103077168367346,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,824,980.0,1
Jupiter,31.737563775510203,38.41669323979592,39.6867825255102,54.0859375,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1362,980.0,2
Jupiter,58.24418048469388,32.41095344387755,43.290258290816325,45.950813137755105,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,744,980.0,0
Jupiter,40.37755102040816,58.6672512755102,43.0475924744898,25.270248724489797,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,882,980.0,2
Jupiter,48.27431441326531,63.20655293367347,21.077965561224488,34.52423469387755,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1615,980.0,2
Jupiter,30.192442602040817,18.6617506377551,36.95073341836735,29.173070790816325,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1635,980.0,3
Jupiter,37.2116549744898,34.846061862244895,37.613600127551024,30.287149234693878,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3557,980.0,2
Jupiter,55.56640625,48.443718112244895,26.080676020408163,50.67139668367347,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1013,980.0,1
Jupiter,31.639190051020407,35.04257015306123,21.49091198979592,39.509885204081634,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1344,980.0,2
