participant_id,brightness0,brightness1,brightness2,brightness3,local_symbol_cls0,local_symbol_cls1,local_symbol_cls2,local_symbol_cls3,correct_symbol_cls,correct_local_cls,participant_linspace,time_reaction_task,time_reaction_mean,chosen_local_cls
Jupiter,33.95527742346939,38.42857142857143,35.00430484693877,47.1789700255102,m,y,f,s,f,2,0.011269276393831554,878,980.0,2
Jupiter,39.6867825255102,40.919164540816325,40.31010841836735,28.071029974489797,c,m,s,j,c,0,0.011862396204033215,797,980.0,3
Jupiter,63.625558035714285,54.213169642857146,34.037228954081634,47.783960459183675,m,s,f,c,f,2,0.012455516014234875,920,980.0,1
Jupiter,21.470982142857142,38.52128507653061,32.63926977040816,26.741151147959183,j,y,m,f,j,0,0.013048635824436536,832,980.0,2
Jupiter,18.20998086734694,52.476243622448976,26.164779974489797,42.9421237244898,j,s,f,y,s,1,0.013641755634638196,660,980.0,2
Jupiter,36.439572704081634,33.02774234693877,47.491629464285715,50.945870535714285,f,y,c,m,m,3,0.014234875444839857,2693,980.0,0
Jupiter,51.17315051020408,49.53467793367347,44.28754783163265,53.47943239795919,c,s,y,j,j,3,0.01482799525504152,745,980.0,2
Jupiter,37.25079719387755,53.69937818877551,46.08059630102041,63.66254783163265,f,c,s,y,s,2,0.01542111506524318,1119,980.0,0
Jupiter,49.18048469387755,53.88695790816327,35.284199617346935,45.79799107142857,c,f,m,s,f,1,0.01601423487544484,875,980.0,2
Jupiter,31.250717474489797,59.899633290816325,50.150510204081634,35.476482780612244,y,c,s,f,y,0,0.0166073546856465,849,980.0,0
Jupiter,35.379464285714285,33.390306122448976,49.19945790816327,32.35674426020408,m,c,s,j,m,0,0.01720047449584816,674,980.0,2
Jupiter,19.966278698979593,44.247927295918366,28.843032525510203,45.52973533163265,j,f,m,s,m,2,0.017793594306049824,804,980.0,1
Jupiter,36.75215242346939,52.94730548469388,44.796954719387756,51.905293367346935,c,f,s,m,m,3,0.018386714116251483,985,980.0,3
Jupiter,55.80269451530612,49.717793367346935,37.63145727040816,46.661352040816325,s,y,f,c,f,2,0.018979833926453145,755,980.0,2
Jupiter,20.401865433673468,34.015943877551024,21.022321428571427,56.83553890306123,j,y,f,m,f,2,0.019572953736654804,770,980.0,2
Jupiter,71.98963647959184,47.03651147959184,25.878427933673468,57.5124362244898,c,y,j,f,j,2,0.020166073546856466,1004,980.0,2
Jupiter,24.882732780612244,32.58266900510204,52.18853635204081,37.02447385204081,y,m,s,j,m,1,0.020759193357058125,926,980.0,1
Jupiter,40.885044642857146,51.027901785714285,46.81776147959184,35.513313137755105,f,m,c,y,f,0,0.021352313167259787,892,980.0,3
Jupiter,38.054607780612244,31.435028698979593,43.561543367346935,49.50263073979592,m,f,y,c,f,1,0.021945432977461446,1088,980.0,2
Jupiter,38.79384566326531,53.21293048469388,58.1555325255102,38.317602040816325,c,f,s,y,y,3,0.022538552787663108,1027,980.0,3
Jupiter,40.41294642857143,28.976642219387756,43.24019451530612,28.103077168367346,s,f,y,m,y,2,0.023131672597864767,824,980.0,1
Jupiter,31.737563775510203,38.41669323979592,39.6867825255102,54.0859375,y,s,c,m,c,2,0.02372479240806643,1362,980.0,2
Jupiter,58.24418048469388,32.41095344387755,43.290258290816325,45.950813137755105,s,m,y,f,f,3,0.02431791221826809,744,980.0,0
Jupiter,40.37755102040816,58.6672512755102,43.0475924744898,25.270248724489797,y,c,s,f,s,2,0.02491103202846975,882,980.0,2
Jupiter,48.27431441326531,63.20655293367347,21.077965561224488,34.52423469387755,c,s,j,f,c,0,0.025504151838671413,1615,980.0,2
Jupiter,30.192442602040817,18.6617506377551,36.95073341836735,29.173070790816325,f,j,s,m,j,1,0.02609727164887307,1635,980.0,3
Jupiter,37.2116549744898,34.846061862244895,37.613600127551024,30.287149234693878,m,j,y,c,j,1,0.026690391459074734,3557,980.0,2
Jupiter,55.56640625,48.443718112244895,26.080676020408163,50.67139668367347,c,f,y,s,y,2,0.027283511269276393,1013,980.0,1
Jupiter,31.639190051020407,35.04257015306123,21.49091198979592,39.509885204081634,f,y,m,j,m,2,0.027876631079478055,1344,980.0,2
Jupiter,38.88911033163265,30.248007015306122,45.49633290816327,20.389110331632654,y,f,m,j,y,0,0.028469750889679714,718,1101.0,2
Jupiter,53.632892219387756,37.439333545918366,24.792410714285715,29.599489795918366,m,s,j,f,s,1,0.029062870699881376,1013,1101.0,1
Jupiter,26.985889668367346,43.574298469387756,45.029575892857146,47.90186543367347,f,s,y,c,c,3,0.02965599051008304,722,1101.0,2
Jupiter,37.02168367346939,56.99234693877551,30.731505102040817,46.98190369897959,c,y,j,s,s,3,0.030249110320284697,648,1101.0,0
Jupiter,42.492107780612244,46.036989795918366,39.84502551020408,36.81265943877551,f,c,s,m,f,0,0.03084223013048636,1059,1101.0,2
Jupiter,44.203125,23.144610969387756,42.613600127551024,32.42825255102041,s,j,m,y,y,3,0.03143534994068802,2298,1101.0,0
