participant_id,x1_linspace,x1_brightness,x1_symbol_m,x1_symbol_c,x1_symbol_s,x1_symbol_y,x1_symbol_f,x1_symbol_j,x1_location_0,x1_location_1,x1_location_2,x1_location_3,x2_linspace,x2_brightness,x2_symbol_m,x2_symbol_c,x2_symbol_s,x2_symbol_y,x2_symbol_f,x2_symbol_j,x2_location_0,x2_location_1,x2_location_2,x2_location_3
Jupiter,0.0,0.13835628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18163829,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0,0.13835628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1381262,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0,0.13835628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20534714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0005931198102016,0.11845207,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0005931198102016,0.22066422,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0005931198102016,0.11845207,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0005931198102016,0.1769095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0005931198102016,0.11845207,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0005931198102016,0.1545412,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jupiter,0.0011862396204033,0.19978774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011862396204033,0.21730694,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0011862396204033,0.19978774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011862396204033,0.1252501,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0011862396204033,0.19978774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0011862396204033,0.14010385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Jupiter,0.0017793594306049,0.14732331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0017793594306049,0.13200562,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0017793594306049,0.14732331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0017793594306049,0.11310994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0017793594306049,0.14732331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0017793594306049,0.18827625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0023724792408066,0.13568489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0023724792408066,0.2517932,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jupiter,0.0023724792408066,0.13568489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0023724792408066,0.1692802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0023724792408066,0.13568489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0023724792408066,0.10214274,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Jupiter,0.0029655990510083,0.15296867,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0029655990510083,0.24334452,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0029655990510083,0.15296867,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0029655990510083,0.19247355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0029655990510083,0.15296867,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0029655990510083,0.058494966,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jupiter,0.0035587188612099,0.06818821,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0035587188612099,0.24083038,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0035587188612099,0.06818821,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0035587188612099,0.10851466,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Jupiter,0.0035587188612099,0.06818821,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0035587188612099,0.14597182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jupiter,0.0041518386714116,0.19138843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0041518386714116,0.0919643,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jupiter,0.0041518386714116,0.19138843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0041518386714116,0.089149095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jupiter,0.0041518386714116,0.19138843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0041518386714116,0.09399197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
